organizations ,type,abbreviation,collaboration,foundingYear,verified,participation,address1,address2,city,state,zip,address1DC,address2DC,cityDC,stateDC,zipDC,lobby,scope,about,website,twitter,facebook,linkedIn,accounts,youTube
American Academy of Physicians Assistant,NGO,,,,,"PHF, CHF, FAHRQ, FNCHS","2318 Mill Road,","Suite 1300,",Alexandria,VA,22314,,,,,,501(c)(6),,"Founded in 1968, the American Academy of PAs is the national professional society for PAs. It represents a profession of more than 100,000 certified PAs across all medical and surgical specialties in all 50 states, the District of Columbia, the majority of the U.S. territories and the uniformed services. - See more at: https://www.aapa.org/about/#sthash.XRGDvg3j.dpuf",https://www.aapa.org/,https://twitter.com/AAPAorg,https://www.facebook.com/AAPA.org/,https://www.linkedin.com/company/american-academy-of-physician-assistants,,https://www.youtube.com/playlist?list=PL7au9Q8H_PKCpPeT9auEMP0TYNbQt9DUI
American Academy of Physical Medicine & Rehabilitation,NGO,,,,,FNICHD,9700 W. Bryn Mawr Ave Ste 200,,Rosemont,IL,60018,,,,,,501(c)(3),,"AAPM&R is the premier medical society for the specialty of physical medicine and rehabilitation, exclusively serving the needs of practicing PM&R physicians.",https://www.aapmr.org/,https://twitter.com/aapmr,https://www.facebook.com/aapmrinfo/,,,https://www.youtube.com/user/AAPMRsite
American Academy of Hospice and Palliative Medicine,NGO,,,,,FAHRQ,8735 W Higgins Rd,Suite 300,Chicago,IL,60631-2738,,,,,,501(c)(3),,"AAHPM is the professional organization for physicians specializing in hospice and palliative medicine, nurses, and other healthcare providers.",http://aahpm.org/,https://twitter.com/AAHPM,https://www.facebook.com/aahpm,https://www.linkedin.com/groups/4408986/profile,,
American Aging Association,NGO,,,,,FNIA,245 N. 15th St.,,Philadelphia,PA,19102,,,,,,,,"The American Aging Association is a non-profit, tax-exempt biogerontology organization of scientists and laypeople dedicated to biomedical aging studies intended to slow the aging process.",http://www.americanagingassociation.org/,https://twitter.com/americanaging,https://www.facebook.com/AmericanAgingAssociation,,,
"American Alliance for Health, Physical Education, Recreation, and Dance (now SHAPE America)",NGO,,,,,CDCC,95 Windward Walk ,,North Kingston,RI,02852-4022,1900 Association Drive,,Reston,VA,20191,501(c)(3),,"SHAPE America - Society of Health and Physical Educators is committed to ensuring all children have the opportunity to lead healthy, physically active lives. Headquartered in Reston, VA, SHAPE America is the largest organization of professionals involved in physical education, physical activity and school health.",http://www.shapeamerica.org/,https://twitter.com/shape_america,https://www.facebook.com/AAHPERD,,,
American Association for Geriatric Psychiatry,NGO,,,,,FNIA,6728 Old Mclean Village Dr ,,McLean,VA,22101-3906,,,,,,501(c)(6),,"Since 1978, AAGP is the national association representing the field of geriatric psychiatry and advocating for patients with late-life mental illnesses.",http://www.aagponline.org/,https://twitter.com/GeriPsyc,https://www.facebook.com/American-Association-for-Geriatric-Psychiatry-AAGP-103469289726248/,https://www.linkedin.com/company/american-association-for-geriatric-psychiatry,,
American Association for Health Education,NGO,,,,,CDCC,1900 Association Drive,,Reston,VA,20191,,,,,,501(c)(3),,"The American Association for Health Education is a membership organization representing 5,500 health educators and health promotion specialists and is the oldest and largest health education association.",http://www.shapeamerica.org/,,,,,
American Association for Public Opinion Research,NGO,,,,,FBLS,1 Parkview Plz Ste 800 ,,Villa Park,IL,60181-4400,,,,,,501(c)(3),,"The leading professional organization of public opinion and survey research professionals in the U.S., with members from academia, media, government, the non-profit sector and private industry. Since 1947.",https://www.aapor.org/,https://twitter.com/AAPOR,https://www.facebook.com/American-Association-for-Public-Opinion-Research-AAPOR-51165007173/,,,
American Association for Respiratory Care (AARC),NGO,,,,,FNCHS,9425 N Macarthur Blvd Ste 100,,Irving,TX,75063-4725,,,,,,501(c)(6),,"Founded in 1943, the American Association for Respiratory Care (AARC) is the leading national and international professional association for respiratory care. The AARC encourages and promotes professional excellence, advances the science and practice of respiratory care, and serves as an advocate for patients and their families, the public, the profession and the respiratory therapist.",http://www.aarc.org/,https://twitter.com/aarc_tweets,https://www.facebook.com/aarc.org,https://www.linkedin.com/company/aarc,https://www.linkedin.com/groups/1824020/profile,
American Association of Clinical Chemistry,NGO,,,,,"FAHRQ, FNCHS","900 Seventh Street, NW",Suite 400,Washington,DC,20001,,,,,,501(c)(3),,AACC is a global scientific and medical professional organization dedicated to clinical laboratory science and its application to healthcare.,https://www.aacc.org,https://twitter.com/_AACC,https://www.facebook.com/AmerAssocforClinChem,,,
American Association of Geriatric Psychiatry,NGO,,,,,CDCC,6728 Old McLean Village ,,McLean,VA,22101,,,,,,501(c)(6),,"The American Association for Geriatric Psychiatry is a membership association of nearly 2,000 geriatric psychiatrists and other health care professionals in the United States, Canada, and abroad, dedicated to the mental well-being of older adults. ",http://www.aagponline.org/,https://twitter.com/GeriPsyc,https://www.facebook.com/American-Association-for-Geriatric-Psychiatry-AAGP-103469289726248/,https://www.linkedin.com/company/american-association-for-geriatric-psychiatry,,
American Association on Health and Disability,NGO,,,,,"PHF, CDCC, CHF",Drive,Suite 328-J,Rockville,MD,545-6140,,,,,,501(c)(3),,"The mission of AAHD is to advance health promotion and wellness initiatives for children and adults with disabilities. AAHD accomplishes its mission through advocacy, education, public awareness, and research efforts at the federal, state, and community levels.",http://www.aahd.us/,https://twitter.com/AAHD1,https://www.facebook.com/aahdus/,https://www.linkedin.com/company/aahd,,
American Association on Intellectual and Developmental Disabilities,NGO,,,,,FNICHD,"501 3rd Street, NW Suite 200",,Washington,DC,20001,,,,,,501(c)(3),,"Since 1876, AAIDD promotes progressive policies, sound research, effective practices, and universal human rights for people with intellectual and developmental disabilities (Formally American Association on Mental Retardation). ",https://aaidd.org,https://twitter.com/_aaidd,https://www.facebook.com/AAIDD-350322627779/,https://www.linkedin.com/company/aaidd,https://www.linkedin.com/grps/American-Association-on-Intellectual-Developmental-4286523,https://www.youtube.com/user/aaiddvideos
American Anthropological Association,NGO,,,,,"Innovation Imperative, CNSF, Innovation Deficit, SHRC, FNICHD",2300 Clarendon Blvd,Ste 1301,Arlington,VA,22201,,,,,,501(c)(3),Social Science,"Founded in 1902, AAA is the world's largest organization of individuals interested in anthropology. With nearly 5,000 individual members, AAA seeks to advance the science of anthropology.",http://www.aaanet.org/,https://twitter.com/AmericanAnthro,https://www.facebook.com/AmericanAnthropologicalAssociation, https://www.linkedin.com/company/american-anthropological-association,https://www.linkedin.com/groups?home=&gid=3779180&trk=anet_ug_hm,
American Association for Cancer Research,NGO,,,,,"UMR, AHGMR, RMR, FAHRQ, CPR",615 Chestnut St,17th Fl,Philadelphia,PA,19106-4404,"1425 K St, NW",Suite 250,Washington,DC,20005,501(c)(3),Health & Medical Sciences,"AACR fosters research in cancer and related biomedical sciences, accelerated the dissemination of new research findings among scientists and others, accelerates the dissemination of new research findings and promotes science education and training. Its membership is comprised of 35,000+ investigators from around the world. ",http://www.aacr.org/Pages/Home.aspx,,,,,
American Association for Dental Research,NGO,,,,,"Innovation Imperative, CNSF, Innovation Deficit, AHGMR, RMR, PHF, CHF, FAHRQ, FNCHS, NIMHD, NDD, CPR",1619 Duke St,,Alexandria,VA,22314-3406,,,,,,501(c)(3),Health & Medical Sciences,"AADR is comprised of 3,600 members in the United States. Its mission is to advance research for the improvement of oral health and to support and represent the oral health research community. The AADR is the largest division of the International Association for Dental Research.",http://www.aadronline.org/i4a/pages/index.cfm?pageid=3451,https://twitter.com/DentalResearch,https://www.facebook.com/groups/103650322477/,https://www.linkedin.com/groups?home=&gid=1635487&trk=anet_ug_hm,,
American Association for the Advancement of Science (AAAS),NGO,,,,,"TFAI, Innovation Imperative, CNSF, ESC, Innovation Deficit, UMR, CNSR, COMPETES, RMR, SETWG, GGA, MITFP, CPR","1200 New York Ave, NW",,Washington,DC,20005,,,,,,501(c)(3),General Science,"As the world's largest general science society, the AAAS seeks to “advance science, engineering, and innovation throughout the world for the benefit of all people.”",http://www.aaas.org/,Several (Compiled here),Several (Compiled here),Several (Compiled here),,Several (Compiled here)
American Association for Dental Research,NGO,,,,,FAHRQ,1619 Duke St,,Alexandria,VA,22314,,,,,,501(c)(3),,"The American Association for Dental Research (AADR) is headquartered in Alexandria, Va., is a non-profit organization with more than 3,700 members in the United States.  Its mission is (1) to advance research and increase knowledge for the improvement of oral health; (2) to support and represent the oral health research community; and (3) to facilitate the communication and application of research findings.  The AADR is the largest Division of the International Association for Dental Research (IADR). ",http://www.iadr.com/,https://twitter.com/iadr,https://www.facebook.com/DentalResearch/,,https://www.linkedin.com/groups/1635487/profile,
American Association for the Study of Liver Diseases,NGO,,,,,"Innovation Imperative, Innovation Deficit, AHGMR, RMR, PHF, DCC, DDNC, CHF",1001 N Fairfax St,Ste 400,Alexandria,VA,22314,,,,,,501(c)(3),Health & Medical Sciences,AASLD is the leading organization of scientists and health care professionals committed to preventing and curing liver disease. AASLD's membership encompasses all professionals dedicated to hepatobiliary discoveries and patient care.,http://www.aadronline.org/,http://twitter.com/dentalresearch,http://www.facebook.com/groups/103650322477/,,,https://www.youtube.com/user/AASLDVideo
American Association for the Surgery of Trauma (AAST),NGO,,,,,CNTR,633 N Saint Clair St Ste 2600 ,,Chicago,IL,60611-6992,,,,,,501(c)(3),Health & Medical Sciences,"The American Association for the Surgery of Trauma started with conversations at the meetings of the Western Surgical Association & Southern Surgical Association in December, 1938. AAST is the premier academic trauma surgery organization in the United States and includes approximately 1,200 members from 30 countries.",http://www.aast.org/,https://twitter.com/traumadoctors,https://www.facebook.com/AASTtraumasurgeons,https://www.linkedin.com/company/aast-e-learning-cme?trk=tyah&trkInfo=tas%3Aamerican+association+for+the+surgery+of+trauma%2Cidx%3A1-2-2,,https://www.youtube.com/user/AASTTrauma
American Association for Thoracic Surgery,NGO,,,,,Innovation Deficit,500 Cummings Cr,Ste 4550,Beverly,MA,01915,,,,,,501(c)(6),Health & Medical Sciences,"Founded in 1917, the American Association for Thoracic Surgery is an international organization of over 1,300 of the world's cardiothoracic surgeons from 41 countries.",http://www.aats.org/,https://twitter.com/aatshq,https://www.facebook.com/AATS1917,https://www.linkedin.com/company/american-association-for-thoracic-surgery-aats-,,https://www.youtube.com/user/AATSVideos
American Association of Anatomists,NGO,,,,,Innovation Deficit,9650 Rockville Pike,,Bethesda,MD,20814,,,,,,501(c)(3),Health & Medical Sciences,"Founded in 1888, the American Association of Anatomists serves as the professional home for biomedical researchers and educators via its research, education and professional development activities.",http://www.anatomy.org/,https://twitter.com/anatomymeeting,https://www.facebook.com/Anatomists,,,
American Association of Colleges of Nursing,NGO,,,,,"AHGMR, RMR, PHF, CDCC, CHF, FAHRQ, FNCHS","One Dupont Cir, NW", Ste 530,Washington,DC,20036,,,,,,501(c)(3),"Health & Medical Sciences, Higher Education","With over 750 member schools of nursing, the American Association of Colleges of Nursing (AACN) is the national voice for America's baccalaureate- and higher-degree nursing education programs. It established quality standards for nursing education, assists schools in implementing those standards and promotes public support for professional nursing education, research, and practice.",http://www.aacn.nche.edu/,https://twitter.com/AACNursing,https://www.facebook.com/AACNursing,https://www.linkedin.com/company/american-association-of-colleges-of-nursing,,
American Association of Colleges of Osteopathic Medicine (AACOM),NGO,,,,,"AHGMR, RMR, PHF, CHF, FAHRQ",5550 Friendship Blvd, Ste 310,Chevy Chase,MD,20815,,,,,,501(c)(3),"Health & Medical Sciences, Higher Education","Founded in 1898, AACOM serves as a unifying voice for the nation's osteopathic medical schools. It promotes excellence in medical education, research and service.",http://www.aacom.org/,"https://twitter.com/aacomresearch , https://twitter.com/aacommunities",https://www.facebook.com/pages/AACOM-The-American-Association-of-Colleges-of-Osteopathic-Medicine/49933236324,https://www.linkedin.com/company/aacom_2,,
